day after tumor cell injection,Therapie_A_1,Therapie_A_2,Therapie_A_3,Therapie_A_4,Therapie_A_5,Therapie_A_6,Therapie_A_7,Therapie_A_8,Therapie_A_9,Therapie_A_10,Therapie_B_1,Therapie_B_2,Therapie_B_3,Therapie_B_4,Therapie_B_5,Therapie_B_6,Therapie_B_7,Therapie_B_8,Therapie_B_9,Therapie_B_10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1
5,8,4,6,4,4,6,9,6,4,2,6,8,6,1,6,3,6,4,6,8
7,8,4,6,4,6,6,9,8,4,2,6,8,6,2,6,6,6,6,6,8
9,8,4,8,4,6,8,6,10,8,2,6,12,6,2,9,6,6,6,6,10
12,6,4,4,4,6,4,4,8,6,4,6,12,6,4,12,6,6,6,6,10
14,6,1,2,4,12,2,9,15,12,6,6,9,9,8,15,12,6,9,12,18
16,8,1,2,4,15,2,9,15,15,9,8,9,12,18,18,15,6,15,12,21
19,12,1,2,4,24,2,16,18,28,12,10,15,15,40,21,24,6,32,15,50
21,35,4,2,4,40,4,16,28,45,15,18,24,28,77,36,30,6,54,35,84
23,50,4,4,6,50,6,25,54,NA,20,32,40,40,NA,50,35,20,NA,40,NA
26,NA,6,4,9,78,10,70,NA,NA,35,60,77,NA,NA,84,54,20,NA,70,NA
28,NA,16,9,20,135,24,99,NA,NA,NA,NA,96,NA,NA,NA,108,30,NA,NA,NA
30,NA,20,12,30,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,42,NA,NA,NA
33,NA,30,20,42,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA
35,NA,42,30,48,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
37,NA,49,48,63,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,72,56,81,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
